source,id,title,agencies,publication_date,type,comments_close_on,html_url
FR,2024-24886,Integration of Powered-Lift: Pilot Certification and Operations; Miscellaneous Amendments Related to Rotorcraft and Airplanes,"Transportation Department, Federal Aviation Administration",2024-11-21,Rule,,https://www.federalregister.gov/documents/2024/11/21/2024-24886/integration-of-powered-lift-pilot-certification-and-operations-miscellaneous-amendments-related-to
FR,2024-27102,Secretary of Energy Advisory Board,Energy Department,2024-11-20,Notice,,https://www.federalregister.gov/documents/2024/11/20/2024-27102/secretary-of-energy-advisory-board
FR,2024-26821,Setting and Adjusting Patent Fees During Fiscal Year 2025,"Commerce Department, Patent and Trademark Office",2024-11-20,Rule,,https://www.federalregister.gov/documents/2024/11/20/2024-26821/setting-and-adjusting-patent-fees-during-fiscal-year-2025
FR,2024-26711,Sitejabber; Analysis of Proposed Consent Order To Aid Public Comment,Federal Trade Commission,2024-11-18,Notice,,https://www.federalregister.gov/documents/2024/11/18/2024-26711/sitejabber-analysis-of-proposed-consent-order-to-aid-public-comment
FR,2024-26059,Defense Federal Acquisition Regulation Supplement: Updates to the Definition of Departments and Agencies (DFARS Case 2024-D026),"Defense Department, Defense Acquisition Regulations System",2024-11-15,Rule,,https://www.federalregister.gov/documents/2024/11/15/2024-26059/defense-federal-acquisition-regulation-supplement-updates-to-the-definition-of-departments-and
FR,2024-25422,Provisions Pertaining to U.S. Investments in Certain National Security Technologies and Products in Countries of Concern,"Treasury Department, Investment Security Office",2024-11-15,Rule,,https://www.federalregister.gov/documents/2024/11/15/2024-25422/provisions-pertaining-to-us-investments-in-certain-national-security-technologies-and-products-in
FR,2024-26297,Public Workshop on Optimizing the Use of Real-World Evidence in Regulatory Decision-Making for Drugs and Biological Products-Looking Forward; Request for Comments,"Health and Human Services Department, Food and Drug Administration",2024-11-13,Notice,,https://www.federalregister.gov/documents/2024/11/13/2024-26297/public-workshop-on-optimizing-the-use-of-real-world-evidence-in-regulatory-decision-making-for-drugs
FR,2024-26245,Ocean Research Advisory Panel (ORAP),"Commerce Department, National Oceanic and Atmospheric Administration",2024-11-13,Notice,,https://www.federalregister.gov/documents/2024/11/13/2024-26245/ocean-research-advisory-panel-orap
FR,2024-26099,"Consumer Financial Protection Circular 2024-06: Background Dossiers and Algorithmic Scores for Hiring, Promotion, and Other Employment Decisions",Consumer Financial Protection Bureau,2024-11-12,Rule,,https://www.federalregister.gov/documents/2024/11/12/2024-26099/consumer-financial-protection-circular-2024-06-background-dossiers-and-algorithmic-scores-for-hiring
FR,2024-25486,"Medicare Program; End-Stage Renal Disease Prospective Payment System, Payment for Renal Dialysis Services Furnished to Individuals With Acute Kidney Injury, Conditions for Coverage for End-Stage Renal Disease Facilities, End-Stage Renal Disease Quality Incentive Program, and End-Stage Renal Disease Treatment Choices Model","Health and Human Services Department, Centers for Medicare & Medicaid Services",2024-11-12,Rule,,https://www.federalregister.gov/documents/2024/11/12/2024-25486/medicare-program-end-stage-renal-disease-prospective-payment-system-payment-for-renal-dialysis
FR,2024-25940,Defense Health Board; Notice of Federal Advisory Committee Meeting,"Defense Department, ",2024-11-08,Notice,,https://www.federalregister.gov/documents/2024/11/08/2024-25940/defense-health-board-notice-of-federal-advisory-committee-meeting
FR,2024-25755,Meeting of the President's Export Council,"Commerce Department, International Trade Administration",2024-11-06,Notice,,https://www.federalregister.gov/documents/2024/11/06/2024-25755/meeting-of-the-presidents-export-council
FR,2024-25571,National Artificial Intelligence Advisory Committee,"Commerce Department, National Institute of Standards and Technology",2024-11-04,Notice,,https://www.federalregister.gov/documents/2024/11/04/2024-25571/national-artificial-intelligence-advisory-committee
FR,2024-25568,The NCUA Staff Draft 2025-2026 Budget Justification,National Credit Union Administration,2024-11-04,Notice,,https://www.federalregister.gov/documents/2024/11/04/2024-25568/the-ncua-staff-draft-2025-2026-budget-justification
FR,2024-24767,Federal Home Loan Bank System Boards of Directors and Executive Management,Federal Housing Finance Agency,2024-11-04,Proposed Rule,,https://www.federalregister.gov/documents/2024/11/04/2024-24767/federal-home-loan-bank-system-boards-of-directors-and-executive-management
FR,2024-25358,Agency Information Collection Activities: Submission for OMB Review; Public Comment Request; for the State Annual Long-Term Care Ombudsman Report (OMB Control Number 0985-0005),"Health and Human Services Department, Community Living Administration",2024-10-31,Notice,,https://www.federalregister.gov/documents/2024/10/31/2024-25358/agency-information-collection-activities-submission-for-omb-review-public-comment-request-for-the
FR,2024-25140,Meeting on the Artificial Intelligence in Healthcare Safety Program,"Health and Human Services Department, Agency for Healthcare Research and Quality",2024-10-31,Notice,,https://www.federalregister.gov/documents/2024/10/31/2024-25140/meeting-on-the-artificial-intelligence-in-healthcare-safety-program
FR,2024-25162,Government Owned Inventions Available for Licensing/Collaboration: Using Artificial Intelligence To Diagnose Uveitis,"Health and Human Services Department, National Institutes of Health",2024-10-30,Notice,,https://www.federalregister.gov/documents/2024/10/30/2024-25162/government-owned-inventions-available-for-licensingcollaboration-using-artificial-intelligence-to
FR,2024-24709,Request for Comment on Security Requirements for Restricted Transactions Under Executive Order 14117,Homeland Security Department,2024-10-29,Notice,,https://www.federalregister.gov/documents/2024/10/29/2024-24709/request-for-comment-on-security-requirements-for-restricted-transactions-under-executive-order-14117
FR,2024-24582,Provisions Pertaining to Preventing Access to U.S. Sensitive Personal Data and Government-Related Data by Countries of Concern or Covered Persons,Justice Department,2024-10-29,Proposed Rule,,https://www.federalregister.gov/documents/2024/10/29/2024-24582/provisions-pertaining-to-preventing-access-to-us-sensitive-personal-data-and-government-related-data
FR,2024-25106,"United Nations Day, 2024",Executive Office of the President,2024-10-28,Presidential Document,,https://www.federalregister.gov/documents/2024/10/28/2024-25106/united-nations-day-2024
FR,2024-24563,Exemption to Prohibition on Circumvention of Copyright Protection Systems for Access Control Technologies,"Library of Congress, Copyright Office, Library of Congress",2024-10-28,Rule,,https://www.federalregister.gov/documents/2024/10/28/2024-24563/exemption-to-prohibition-on-circumvention-of-copyright-protection-systems-for-access-control
FR,2024-24865,National Advisory Council on Innovation and Entrepreneurship (NACIE); Solicitation of Applications and Nominations,"Commerce Department, Economic Development Administration",2024-10-25,Notice,,https://www.federalregister.gov/documents/2024/10/25/2024-24865/national-advisory-council-on-innovation-and-entrepreneurship-nacie-solicitation-of-applications-and
FR,2024-24739,Grant Guideline; Notice,State Justice Institute,2024-10-24,Notice,,https://www.federalregister.gov/documents/2024/10/24/2024-24739/grant-guideline-notice
FR,2024-24274,Committee and Quarterly Board Meetings,"Education Department, National Assessment Governing Board",2024-10-21,Notice,,https://www.federalregister.gov/documents/2024/10/21/2024-24274/committee-and-quarterly-board-meetings
FR,2024-23773,Request for Information: Executive Branch Agency Handling of Commercially Available Information Containing Personally Identifiable Information,Management and Budget Office,2024-10-16,Notice,,https://www.federalregister.gov/documents/2024/10/16/2024-23773/request-for-information-executive-branch-agency-handling-of-commercially-available-information
FR,2024-23964,"International Day of the Girl, 2024",Executive Office of the President,2024-10-15,Presidential Document,,https://www.federalregister.gov/documents/2024/10/15/2024-23964/international-day-of-the-girl-2024
FR,2024-23384,Visiting Committee on Advanced Technology,"Commerce Department, National Institute of Standards and Technology",2024-10-09,Notice,,https://www.federalregister.gov/documents/2024/10/09/2024-23384/visiting-committee-on-advanced-technology
FR,2024-22602,Securing the Border,"Homeland Security Department, Justice Department, Executive Office for Immigration Review",2024-10-07,Rule,,https://www.federalregister.gov/documents/2024/10/07/2024-22602/securing-the-border
FR,2024-22974,Safety Considerations for Chemical and/or Biological AI Models,"Commerce Department, National Institute of Standards and Technology",2024-10-04,Notice,,https://www.federalregister.gov/documents/2024/10/04/2024-22974/safety-considerations-for-chemical-andor-biological-ai-models
FR,2024-22969,Announcement of Approved International Trade Administration Trade Mission,"Commerce Department, International Trade Administration",2024-10-04,Notice,,https://www.federalregister.gov/documents/2024/10/04/2024-22969/announcement-of-approved-international-trade-administration-trade-mission
FR,2024-22767,Rytr LLC; Analysis of Proposed Consent Order To Aid Public Comment,Federal Trade Commission,2024-10-03,Notice,,https://www.federalregister.gov/documents/2024/10/03/2024-22767/rytr-llc-analysis-of-proposed-consent-order-to-aid-public-comment
FR,2024-22741,Air Force Institute of Technology Subcommittee of the Air University Board of Visitors Meeting,"Defense Department, Air Force Department",2024-10-03,Notice,,https://www.federalregister.gov/documents/2024/10/03/2024-22741/air-force-institute-of-technology-subcommittee-of-the-air-university-board-of-visitors-meeting
FR,2024-22664,Artificial Intelligence-Powered Autonomous Experimentation (AI/AE) for Sustainable Semiconductor Materials,"Commerce Department, National Institute of Standards and Technology",2024-10-02,Notice,,https://www.federalregister.gov/documents/2024/10/02/2024-22664/artificial-intelligence-powered-autonomous-experimentation-aiae-for-sustainable-semiconductor
FR,2024-22587,Expansion of Validated End User Authorization: Data Center Validated End User Authorization,"Commerce Department, Industry and Security Bureau",2024-10-02,Rule,,https://www.federalregister.gov/documents/2024/10/02/2024-22587/expansion-of-validated-end-user-authorization-data-center-validated-end-user-authorization
FR,2024-22580,Center for Drug Evaluation and Research Quantitative Medicine Center of Excellence; Program Announcement,"Health and Human Services Department, Food and Drug Administration",2024-10-02,Notice,,https://www.federalregister.gov/documents/2024/10/02/2024-22580/center-for-drug-evaluation-and-research-quantitative-medicine-center-of-excellence-program
FR,2024-22400,"DoNotPay, Inc..; Analysis of Proposed Consent Order To Aid Public Comment",Federal Trade Commission,2024-09-30,Notice,,https://www.federalregister.gov/documents/2024/09/30/2024-22400/donotpay-inc-analysis-of-proposed-consent-order-to-aid-public-comment
FR,2024-22331,Advisory Committee for Mathematical and Physical Sciences; Notice of Meeting,National Science Foundation,2024-09-30,Notice,,https://www.federalregister.gov/documents/2024/09/30/2024-22331/advisory-committee-for-mathematical-and-physical-sciences-notice-of-meeting
FR,2024-22323,Proposed Agency Information Collection Activities; Comment Request,Federal Reserve System,2024-09-30,Notice,,https://www.federalregister.gov/documents/2024/09/30/2024-22323/proposed-agency-information-collection-activities-comment-request
FR,2024-22150,"Special Medical Advisory Group, Amended, Notice of Meeting",Veterans Affairs Department,2024-09-27,Notice,,https://www.federalregister.gov/documents/2024/09/27/2024-22150/special-medical-advisory-group-amended-notice-of-meeting
FR,2024-21983,Fraudulent Misrepresentation of Campaign Authority,Federal Election Commission,2024-09-26,Rule,,https://www.federalregister.gov/documents/2024/09/26/2024-21983/fraudulent-misrepresentation-of-campaign-authority
FR,2024-21979,Artificial Intelligence in Campaign Ads,Federal Election Commission,2024-09-26,Proposed Rule,,https://www.federalregister.gov/documents/2024/09/26/2024-21979/artificial-intelligence-in-campaign-ads
FR,2024-21903,Securing the Information and Communications Technology and Services Supply Chain: Connected Vehicles,"Commerce Department, Industry and Security Bureau",2024-09-26,Proposed Rule,,https://www.federalregister.gov/documents/2024/09/26/2024-21903/securing-the-information-and-communications-technology-and-services-supply-chain-connected-vehicles
FR,2024-21778,Disability Advisory Committee; Announcement of Meeting,Federal Communications Commission,2024-09-25,Notice,,https://www.federalregister.gov/documents/2024/09/25/2024-21778/disability-advisory-committee-announcement-of-meeting
FR,2024-21560,Business Combinations Under the Bank Merger Act,"Treasury Department, Comptroller of the Currency",2024-09-25,Rule,,https://www.federalregister.gov/documents/2024/09/25/2024-21560/business-combinations-under-the-bank-merger-act
FR,2024-21635,National Artificial Intelligence Advisory Committee,"Commerce Department, National Institute of Standards and Technology",2024-09-23,Notice,,https://www.federalregister.gov/documents/2024/09/23/2024-21635/national-artificial-intelligence-advisory-committee
FR,2024-21549,U.S. Strategic Command Strategic Advisory Group; Notice of Federal Advisory Committee Meeting,"Defense Department, ",2024-09-20,Notice,,https://www.federalregister.gov/documents/2024/09/20/2024-21549/us-strategic-command-strategic-advisory-group-notice-of-federal-advisory-committee-meeting
FR,2024-21152,National Institute on Drug Abuse; Notice of Closed Meetings,"Health and Human Services Department, National Institutes of Health",2024-09-18,Notice,,https://www.federalregister.gov/documents/2024/09/18/2024-21152/national-institute-on-drug-abuse-notice-of-closed-meetings
FR,2024-21085,"2024 Guidance Update on Patent Subject Matter Eligibility, Including on Artificial Intelligence","Commerce Department, Patent and Trademark Office",2024-09-17,Notice,,https://www.federalregister.gov/documents/2024/09/17/2024-21085/2024-guidance-update-on-patent-subject-matter-eligibility-including-on-artificial-intelligence
FR,2024-21074,Digital Health Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments-Total Product Lifecycle Considerations for Generative Artificial Intelligence-Enabled Medical Devices,"Health and Human Services Department, Food and Drug Administration",2024-09-17,Notice,,https://www.federalregister.gov/documents/2024/09/17/2024-21074/digital-health-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for
FR,2024-20814,Public Health Service Policies on Research Misconduct,Health and Human Services Department,2024-09-17,Rule,,https://www.federalregister.gov/documents/2024/09/17/2024-20814/public-health-service-policies-on-research-misconduct
FR,2024-21124,Sunshine Act Meetings,Federal Election Commission,2024-09-16,Notice,,https://www.federalregister.gov/documents/2024/09/16/2024-21124/sunshine-act-meetings
FR,2024-20890,Open Meeting of the Financial Research Advisory Committee,Treasury Department,2024-09-13,Notice,,https://www.federalregister.gov/documents/2024/09/13/2024-20890/open-meeting-of-the-financial-research-advisory-committee
FR,2024-20228,Small Business Size Standards: Revised Size Standards Methodology,Small Business Administration,2024-09-12,Rule,,https://www.federalregister.gov/documents/2024/09/12/2024-20228/small-business-size-standards-revised-size-standards-methodology
FR,2024-20529,Establishment of Reporting Requirements for the Development of Advanced Artificial Intelligence Models and Computing Clusters,"Commerce Department, Industry and Security Bureau",2024-09-11,Proposed Rule,,https://www.federalregister.gov/documents/2024/09/11/2024-20529/establishment-of-reporting-requirements-for-the-development-of-advanced-artificial-intelligence
FR,2024-19819,Form N-PORT and Form N-CEN Reporting; Guidance on Open-End Fund Liquidity Risk Management Programs,Securities and Exchange Commission,2024-09-11,Rule,,https://www.federalregister.gov/documents/2024/09/11/2024-19819/form-n-port-and-form-n-cen-reporting-guidance-on-open-end-fund-liquidity-risk-management-programs
FR,2024-20306,Third Supplemental Notice for Staff-Led Workshop,"Energy Department, Federal Energy Regulatory Commission",2024-09-10,Notice,,https://www.federalregister.gov/documents/2024/09/10/2024-20306/third-supplemental-notice-for-staff-led-workshop
FR,2024-19028,Implications of Artificial Intelligence Technologies on Protecting Consumers From Unwanted Robocalls and Robotexts,Federal Communications Commission,2024-09-10,Proposed Rule,,https://www.federalregister.gov/documents/2024/09/10/2024-19028/implications-of-artificial-intelligence-technologies-on-protecting-consumers-from-unwanted-robocalls
FR,2024-20175,"Submission for Review: 3206-0246, CyberCorps®: Scholarship for Service (SFS) Registration System",Personnel Management Office,2024-09-09,Notice,,https://www.federalregister.gov/documents/2024/09/09/2024-20175/submission-for-review-3206-0246-cybercorps-scholarship-for-service-sfs-registration-system
FR,2024-19633,Commerce Control List Additions and Revisions; Implementation of Controls on Advanced Technologies Consistent With Controls Implemented by International Partners,"Commerce Department, Industry and Security Bureau",2024-09-06,Rule,,https://www.federalregister.gov/documents/2024/09/06/2024-19633/commerce-control-list-additions-and-revisions-implementation-of-controls-on-advanced-technologies
FR,2024-19729,Advanced Scientific Computing Advisory Committee,Energy Department,2024-09-04,Notice,,https://www.federalregister.gov/documents/2024/09/04/2024-19729/advanced-scientific-computing-advisory-committee
FR,2024-19524,"Request for Comments on Bolstering Data Center Growth, Resilience, and Security","Commerce Department, National Telecommunications and Information Administration",2024-09-04,Notice,,https://www.federalregister.gov/documents/2024/09/04/2024-19524/request-for-comments-on-bolstering-data-center-growth-resilience-and-security
FR,2024-19260,Financial Crimes Enforcement Network: Anti-Money Laundering/Countering the Financing of Terrorism Program and Suspicious Activity Report Filing Requirements for Registered Investment Advisers and Exempt Reporting Advisers,"Treasury Department, Financial Crimes Enforcement Network",2024-09-04,Rule,,https://www.federalregister.gov/documents/2024/09/04/2024-19260/financial-crimes-enforcement-network-anti-money-launderingcountering-the-financing-of-terrorism
FR,2024-19712,Identifying Priority Focus Areas for Future Guidance Development and Engagement With Interested Parties in Model-Informed Drug Development; Request for Information,"Health and Human Services Department, Food and Drug Administration",2024-09-03,Notice,,https://www.federalregister.gov/documents/2024/09/03/2024-19712/identifying-priority-focus-areas-for-future-guidance-development-and-engagement-with-interested
FR,2024-19623,"Meeting of the Advisory Committee to the Director (ACD), Centers for Disease Control and Prevention","Health and Human Services Department, Centers for Disease Control and Prevention",2024-09-03,Notice,,https://www.federalregister.gov/documents/2024/09/03/2024-19623/meeting-of-the-advisory-committee-to-the-director-acd-centers-for-disease-control-and-prevention
FR,2024-19519,Notice of Public Meetings of the Pennsylvania Advisory Committee to the U.S. Commission on Civil Rights,Civil Rights Commission,2024-08-30,Notice,,https://www.federalregister.gov/documents/2024/08/30/2024-19519/notice-of-public-meetings-of-the-pennsylvania-advisory-committee-to-the-us-commission-on-civil
FR,2024-19410,Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Business Trends and Outlook Survey,"Commerce Department, Census Bureau",2024-08-29,Notice,,https://www.federalregister.gov/documents/2024/08/29/2024-19410/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-omb-for
FR,2024-19444,"Women's Equality Day, 2024",Executive Office of the President,2024-08-28,Presidential Document,,https://www.federalregister.gov/documents/2024/08/28/2024-19444/womens-equality-day-2024
FR,2024-17021,Medicare and Medicaid Programs and the Children's Health Insurance Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2025 Rates; Quality Programs Requirements; and Other Policy Changes,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2024-08-28,Rule,,https://www.federalregister.gov/documents/2024/08/28/2024-17021/medicare-and-medicaid-programs-and-the-childrens-health-insurance-program-hospital-inpatient
FR,2024-19160,"Special Medical Advisory Group, Notice of Meeting",Veterans Affairs Department,2024-08-27,Notice,,https://www.federalregister.gov/documents/2024/08/27/2024-19160/special-medical-advisory-group-notice-of-meeting
FR,2024-19040,AI-Enabled Medical Technologies Industry Roundtable,"Commerce Department, International Trade Administration",2024-08-27,Notice,,https://www.federalregister.gov/documents/2024/08/27/2024-19040/ai-enabled-medical-technologies-industry-roundtable
FR,2024-19240,Sunshine Act Meetings,Federal Election Commission,2024-08-26,Notice,,https://www.federalregister.gov/documents/2024/08/26/2024-19240/sunshine-act-meetings
FR,2025-18395,Virtualization Reliability Standards,"Energy Department, Federal Energy Regulatory Commission",2025-09-23,Proposed Rule,,https://www.federalregister.gov/documents/2025/09/23/2025-18395/virtualization-reliability-standards
FR,2025-18305,Self-Regulatory Organizations; The Nasdaq Stock Market LLC; Notice of Filing of Proposed Rule Change To Amend the Exchange's Rules To Enable the Trading of Securities on the Exchange in Tokenized Form,Securities and Exchange Commission,2025-09-22,Notice,,https://www.federalregister.gov/documents/2025/09/22/2025-18305/self-regulatory-organizations-the-nasdaq-stock-market-llc-notice-of-filing-of-proposed-rule-change
FR,2025-17712,Privacy Act of 1974; System of Records,Veterans Affairs Department,2025-09-15,Notice,,https://www.federalregister.gov/documents/2025/09/15/2025-17712/privacy-act-of-1974-system-of-records
FR,2025-16858,HISA Proposed 2026 Budget,Federal Trade Commission,2025-09-03,Notice,,https://www.federalregister.gov/documents/2025/09/03/2025-16858/hisa-proposed-2026-budget
FR,2025-15591,Privacy Act of 1974; System of Records,Veterans Affairs Department,2025-08-15,Notice,,https://www.federalregister.gov/documents/2025/08/15/2025-15591/privacy-act-of-1974-system-of-records
FR,2025-15590,Privacy Act of 1974; System of Records,Veterans Affairs Department,2025-08-15,Notice,,https://www.federalregister.gov/documents/2025/08/15/2025-15590/privacy-act-of-1974-system-of-records
FR,2025-15588,Privacy Act of 1974; System of Records,Veterans Affairs Department,2025-08-15,Notice,,https://www.federalregister.gov/documents/2025/08/15/2025-15588/privacy-act-of-1974-system-of-records
FR,2025-14078,Federal Secure Cloud Advisory Committee Notification of Upcoming Meeting,General Services Administration,2025-07-25,Notice,,https://www.federalregister.gov/documents/2025/07/25/2025-14078/federal-secure-cloud-advisory-committee-notification-of-upcoming-meeting
FR,2025-13613,Privacy Act of 1974; System of Records,Homeland Security Department,2025-07-21,Notice,,https://www.federalregister.gov/documents/2025/07/21/2025-13613/privacy-act-of-1974-system-of-records
FR,2025-13609,Privacy Act of 1974; System of Records,Homeland Security Department,2025-07-21,Notice,,https://www.federalregister.gov/documents/2025/07/21/2025-13609/privacy-act-of-1974-system-of-records
FR,2025-10277,Information Collection Requirements; Defense Federal Acquisition Regulation Supplement (DFARS); Cyber Incident Reporting and Cloud Computing,"Defense Department, Defense Acquisition Regulations System",2025-06-06,Notice,,https://www.federalregister.gov/documents/2025/06/06/2025-10277/information-collection-requirements-defense-federal-acquisition-regulation-supplement-dfars-cyber
FR,2025-01499,Notice of OFAC Sanctions Action,"Treasury Department, Foreign Assets Control Office",2025-01-22,Notice,,https://www.federalregister.gov/documents/2025/01/22/2025-01499/notice-of-ofac-sanctions-action
FR,2025-00727,Advancing the Domestic Manufacturing of Semiconductors in Commercial Information Technology,Management and Budget Office,2025-01-15,Notice,,https://www.federalregister.gov/documents/2025/01/15/2025-00727/advancing-the-domestic-manufacturing-of-semiconductors-in-commercial-information-technology
FR,2024-30437,Federal Acquisition Regulation: Controlled Unclassified Information,"Defense Department, General Services Administration, National Aeronautics and Space Administration",2025-01-15,Proposed Rule,,https://www.federalregister.gov/documents/2025/01/15/2024-30437/federal-acquisition-regulation-controlled-unclassified-information
FR,2024-31554,Federal Secure Cloud Advisory Committee Request for Applications,General Services Administration,2025-01-06,Notice,,https://www.federalregister.gov/documents/2025/01/06/2024-31554/federal-secure-cloud-advisory-committee-request-for-applications
FR,2024-30611,Privacy Act of 1974; System of Records,"Defense Department, ",2024-12-23,Notice,,https://www.federalregister.gov/documents/2024/12/23/2024-30611/privacy-act-of-1974-system-of-records
FR,2024-30489,Federal Secure Cloud Advisory Committee Notification of Upcoming Meeting,General Services Administration,2024-12-23,Notice,,https://www.federalregister.gov/documents/2024/12/23/2024-30489/federal-secure-cloud-advisory-committee-notification-of-upcoming-meeting
FR,2024-29912,Joint Industry Plan; Order Approving Amendments to the National Market System Plan Governing the Consolidated Audit Trail Designed To Implement Cost Savings Measures,Securities and Exchange Commission,2024-12-18,Notice,,https://www.federalregister.gov/documents/2024/12/18/2024-29912/joint-industry-plan-order-approving-amendments-to-the-national-market-system-plan-governing-the
FR,2024-27764,"Self-Regulatory Organizations; Financial Industry Regulatory Authority, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Adjust FINRA Fees To Provide Sustainable Funding for FINRA's Regulatory Mission",Securities and Exchange Commission,2024-11-27,Notice,,https://www.federalregister.gov/documents/2024/11/27/2024-27764/self-regulatory-organizations-financial-industry-regulatory-authority-inc-notice-of-filing-and
FR,2024-27570,Privacy Act of 1974; System of Records,Justice Department,2024-11-27,Notice,,https://www.federalregister.gov/documents/2024/11/27/2024-27570/privacy-act-of-1974-system-of-records
FR,2024-27405,Submission for OMB Review; Comment Request,"Defense Department, ",2024-11-22,Notice,,https://www.federalregister.gov/documents/2024/11/22/2024-27405/submission-for-omb-review-comment-request
FR,2024-25570,Covered Clearing Agency Resilience and Recovery and Orderly Wind-Down Plans,Securities and Exchange Commission,2024-11-18,Rule,,https://www.federalregister.gov/documents/2024/11/18/2024-25570/covered-clearing-agency-resilience-and-recovery-and-orderly-wind-down-plans
FR,2024-23952,Privacy Act of 1974; Systems of Records,Justice Department,2024-10-21,Notice,,https://www.federalregister.gov/documents/2024/10/21/2024-23952/privacy-act-of-1974-systems-of-records
FR,2024-23950,Privacy Act of 1974; System of Records,Justice Department,2024-10-18,Notice,,https://www.federalregister.gov/documents/2024/10/18/2024-23950/privacy-act-of-1974-system-of-records
FR,2024-23788,Federal Secure Cloud Advisory Committee Notification of Upcoming Meeting,General Services Administration,2024-10-16,Notice,,https://www.federalregister.gov/documents/2024/10/16/2024-23788/federal-secure-cloud-advisory-committee-notification-of-upcoming-meeting
FR,2024-22905,Cybersecurity Maturity Model Certification (CMMC) Program,"Defense Department, ",2024-10-15,Rule,,https://www.federalregister.gov/documents/2024/10/15/2024-22905/cybersecurity-maturity-model-certification-cmmc-program
FR,2024-22230,Supply Chain Risk Management Reliability Standards,"Energy Department, Federal Energy Regulatory Commission",2024-10-01,Proposed Rule,,https://www.federalregister.gov/documents/2024/10/01/2024-22230/supply-chain-risk-management-reliability-standards
FR,2024-21762,"Self-Regulatory Organizations; NYSE National, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Establish Fees for Industry Members Related to Certain Historical Costs of the National Market System Plan Governing the Consolidated Audit Trail",Securities and Exchange Commission,2024-09-25,Notice,,https://www.federalregister.gov/documents/2024/09/25/2024-21762/self-regulatory-organizations-nyse-national-inc-notice-of-filing-and-immediate-effectiveness-of-a
FR,2024-21761,"Self-Regulatory Organizations; NYSE Chicago, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Establish Fees for Industry Members Related to Certain Historical Costs of the National Market System Plan Governing the Consolidated Audit Trail",Securities and Exchange Commission,2024-09-25,Notice,,https://www.federalregister.gov/documents/2024/09/25/2024-21761/self-regulatory-organizations-nyse-chicago-inc-notice-of-filing-and-immediate-effectiveness-of-a
FR,2024-21760,"Self-Regulatory Organizations; NYSE Arca, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Establish Fees for Industry Members Related to Certain Historical Costs of the National Market System Plan Governing the Consolidated Audit Trail",Securities and Exchange Commission,2024-09-25,Notice,,https://www.federalregister.gov/documents/2024/09/25/2024-21760/self-regulatory-organizations-nyse-arca-inc-notice-of-filing-and-immediate-effectiveness-of-a
FR,2024-21759,Self-Regulatory Organizations; New York Stock Exchange LLC; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Establish Fees for Industry Members Related to Certain Historical Costs of the National Market System Plan Governing the Consolidated Audit Trail,Securities and Exchange Commission,2024-09-25,Notice,,https://www.federalregister.gov/documents/2024/09/25/2024-21759/self-regulatory-organizations-new-york-stock-exchange-llc-notice-of-filing-and-immediate
FR,2024-21758,Self-Regulatory Organizations; NYSE American LLC; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Establish Fees for Industry Members Related to Certain Historical Costs of the National Market System Plan Governing the Consolidated Audit Trail,Securities and Exchange Commission,2024-09-25,Notice,,https://www.federalregister.gov/documents/2024/09/25/2024-21758/self-regulatory-organizations-nyse-american-llc-notice-of-filing-and-immediate-effectiveness-of-a
FR,2024-21169,"Self-Regulatory Organizations; Financial Industry Regulatory Authority, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend FINRA Rule 6897 To Establish Fees for Industry Members Related to Certain Historical Costs of the National Market System Plan Governing the Consolidated Audit Trail",Securities and Exchange Commission,2024-09-18,Notice,,https://www.federalregister.gov/documents/2024/09/18/2024-21169/self-regulatory-organizations-financial-industry-regulatory-authority-inc-notice-of-filing-and
FR,2024-20636,Self-Regulatory Organizations; MIAX Sapphire LLC; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change to Establish Fees for Industry Members Related to Certain Historical Costs of the National Market System Plan Governing the Consolidated Audit Trail,Securities and Exchange Commission,2024-09-16,Notice,,https://www.federalregister.gov/documents/2024/09/16/2024-20636/self-regulatory-organizations-miax-sapphire-llc-notice-of-filing-and-immediate-effectiveness-of-a
FR,2024-20635,"Self-Regulatory Organizations; MIAX Emerald, LLC; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Establish Fees for Industry Members Related to Certain Historical Costs of the National Market System Plan Governing the Consolidated Audit Trail",Securities and Exchange Commission,2024-09-16,Notice,,https://www.federalregister.gov/documents/2024/09/16/2024-20635/self-regulatory-organizations-miax-emerald-llc-notice-of-filing-and-immediate-effectiveness-of-a
